city/district,waste_type,waste_generated_(tons/day),recycling_rate_(%),population_density_(people/km²),municipal_efficiency_score_(1_10),disposal_method,cost_of_waste_management_(₹/ton),awareness_campaigns_count,landfill_name,"landfill_location_(lat,_long)",landfill_capacity_(tons),year,waste_reduction_initiatives,industrial_symbiosis_index,community_participation_score,green_technology_adoption,recycling_infrastructure_rating
Bengaluru,Hazardous,4008,47,18195,10,Incineration,3873,5,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,4.035537405868654,8.135141590520597,4.851847712978308,4.379356010289241,44.41474930569547
Agra,Plastic,3622,65,4629,5,Incineration,794,1,Agra Landfill,"32.4069, 92.1176",82082,1970,1.4479137018187709,5.441750252548765,1.0,6.671270825229132,65.48576402630054
Jaipur,E-Waste,2534,45,2335,5,Composting,1614,15,Jaipur Landfill,"11.6909, 94.4267",71127,1970,6.3238500534742,7.74751034157206,4.54277607676948,4.218207534552173,43.3360901650111
Ahmedabad,Hazardous,2686,81,9464,9,Incineration,1638,9,Ahmedabad Landfill,"19.3868, 72.7845",69399,1970,5.163592418303174,6.9732044990027084,4.203118348005807,8.092569070753298,78.52189459494672
Rajkot,Plastic,3388,64,23232,7,Recycling,3849,12,Rajkot Landfill,"30.6193, 68.7432",62818,1970,6.002524082179443,7.230798673906661,7.866059326069776,6.531375326048251,61.96060936058229
Ranchi,E-Waste,9848,79,17422,10,Landfill,675,11,Ranchi Landfill,"13.4978, 84.8338",98646,1970,6.563923143479263,8.661397285070644,5.951729799954446,7.708468281489485,77.42132298856065
Patna,Organic,8634,78,16101,6,Incineration,2042,15,Patna Landfill,"18.5496, 94.8411",67316,1970,7.09694389008223,2.47308889016812,7.106828893354644,7.961913632637011,79.0667184894109
Guwahati,Construction,9218,84,22866,9,Composting,1433,7,Guwahati Landfill,"19.7894, 85.8429",60935,1970,4.66427807172329,7.575207242315018,6.360365294397762,8.155336373763244,83.75254210745032
Meerut,Organic,1404,54,7178,10,Recycling,2848,10,Meerut Landfill,"14.3552, 72.9863",56989,1970,5.84890737322404,3.5377723929137237,4.352189712105797,5.718380424779535,54.04526170535374
Meerut,Organic,6719,54,7178,9,Recycling,3521,5,Meerut Landfill,"14.3552, 72.9863",56989,1970,3.8983741323551135,4.870420273700424,2.7465579053078644,5.58908765374823,55.18513454769466
Coimbatore,Construction,2139,54,12073,6,Recycling,3884,6,Coimbatore Landfill,"31.9729, 76.5516",98572,1970,3.397283899790144,6.776154745093098,3.915460190111258,5.328457903848795,53.07412097594949
Ludhiana,Construction,4118,42,8678,9,Composting,4647,13,Ludhiana Landfill,"10.3062, 77.427",69241,1970,6.835865950114501,8.726162515193776,4.715971935176686,4.5260646845482855,44.89461139878361
Agra,Hazardous,7256,85,4629,8,Landfill,2170,3,Agra Landfill,"32.4069, 92.1176",82082,1970,2.894937897537715,7.678886594188119,1.6058216220996453,8.201528378006312,85.94526069168681
Gwalior,E-Waste,5503,61,11280,8,Composting,1671,20,Gwalior Landfill,"10.9566, 91.6565",54460,1970,9.06373200234815,7.860471495453068,7.4042080084545,6.366527316221627,61.52710162390957
Agra,Plastic,3173,73,4629,6,Landfill,2350,2,Agra Landfill,"32.4069, 92.1176",82082,1970,2.0019274442854567,8.71829907246727,1.148737583729472,7.62435044724935,70.90068900218012
Visakhapatnam,Organic,7018,53,12359,6,Recycling,4005,5,Visakhapatnam Landfill,"12.4235, 85.6407",48016,1970,3.255364268215293,5.552507068267632,3.5933092218418845,5.385587683872613,54.58763693428763
Amritsar,Plastic,3121,38,12612,5,Composting,3385,4,Amritsar Landfill,"22.6059, 88.4682",31477,1970,2.609981641617624,7.647463408298845,3.860536559892716,4.238529783473131,37.871844471702566
Ludhiana,Construction,6754,85,8678,5,Recycling,4132,0,Ludhiana Landfill,"10.3062, 77.427",69241,1970,1.081037527877817,7.126001204594186,2.069950048980964,8.297287204281327,85.6951232276071
Bengaluru,Organic,8884,32,18195,6,Incineration,4262,17,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,7.801666863129689,3.645325781795309,7.589909598071905,3.3747863021674105,26.935507829560628
Ahmedabad,Organic,7895,78,9464,5,Landfill,4526,20,Ahmedabad Landfill,"19.3868, 72.7845",69399,1970,8.726184028862885,4.551020323295404,7.460369179859827,7.753989911199699,78.66170260923116
Bhopal,Construction,9384,71,4071,5,Landfill,1922,18,Bhopal Landfill,"18.3203, 75.8314",83130,1970,7.444742723766573,7.51277143635968,5.263561500919042,7.291055812739262,73.70440535773429
Nashik,Construction,2776,33,2929,10,Incineration,3767,17,Nashik Landfill,"14.6177, 91.4568",63245,1970,8.723320722162219,8.776505192991472,4.41712796481766,3.5470782671290286,32.55697347409576
Guwahati,Construction,8457,79,22866,6,Incineration,1687,7,Guwahati Landfill,"19.7894, 85.8429",60935,1970,4.048835973721738,8.541383976889461,6.632280890552405,8.338482158214154,75.0629915731239
Kanpur,Organic,2382,80,18697,8,Landfill,716,2,Kanpur Landfill,"13.0189, 89.182",22690,1970,2.598325631595428,3.24795657397995,4.677570723675024,8.461492324574113,80.8161056936735
Nashik,Hazardous,3134,84,2929,10,Recycling,2582,11,Nashik Landfill,"14.6177, 91.4568",63245,1970,6.633842772860886,8.263641909110321,3.2504286747199416,8.118713888906539,83.9553994325639
Ahmedabad,Construction,4118,79,9464,10,Landfill,2440,19,Ahmedabad Landfill,"19.3868, 72.7845",69399,1970,9.34453843005273,6.942998396237053,7.181809628548812,7.526002027863994,80.7588340822748
Coimbatore,Construction,9121,40,12073,9,Landfill,4566,11,Coimbatore Landfill,"31.9729, 76.5516",98572,1970,6.404630552043319,6.888374618762692,5.159471566302537,4.040296531790308,42.59212612356279
Varanasi,Construction,5671,55,7976,7,Incineration,550,14,Varanasi Landfill,"35.156, 83.0516",79314,1970,6.717828327447006,6.845930084306801,5.610944771428453,5.050573103824229,56.77500793482812
Varanasi,Organic,9254,60,7976,7,Composting,2642,9,Varanasi Landfill,"35.156, 83.0516",79314,1970,4.942409003603727,3.9206027896965456,4.330220669715022,5.711125942558037,61.82694746403482
Surat,Construction,2964,64,24032,6,Landfill,1093,10,Surat Landfill,"32.805, 89.0238",38471,1970,5.004074373221814,6.787933118937686,7.162699743808566,5.934911552656224,63.43168980414241
Allahabad,Organic,4604,38,19181,6,Landfill,2987,13,Allahabad Landfill,"35.9642, 87.6951",35432,1970,6.160185648236934,4.935244927450139,7.319527460237638,4.172859421565664,32.73853972634187
Ranchi,Plastic,9222,76,17422,8,Recycling,4212,14,Ranchi Landfill,"13.4978, 84.8338",98646,1970,7.112158107953464,7.858467306686097,6.83008327159628,7.531301706341014,75.26898812602947
Surat,Organic,4320,66,24032,8,Composting,4625,15,Surat Landfill,"32.805, 89.0238",38471,1970,7.669199082372029,4.850459970782969,9.007310207134438,6.440411556114259,66.06805482214446
Surat,Organic,7629,64,24032,9,Landfill,617,13,Surat Landfill,"32.805, 89.0238",38471,1970,7.191675005927428,3.802233136556772,8.390615183548887,6.40127564462573,65.46927509091866
Kanpur,Construction,1894,61,18697,5,Recycling,4219,9,Kanpur Landfill,"13.0189, 89.182",22690,1970,4.46944479482821,9.525781499857644,6.068723658802679,6.401445776222954,60.52806002557806
Allahabad,Hazardous,2075,53,19181,9,Composting,1218,16,Allahabad Landfill,"35.9642, 87.6951",35432,1970,8.322593459796837,6.817503824440739,8.144853442753572,5.500611496394452,53.623305712009554
Surat,Organic,4071,45,24032,9,Landfill,1912,12,Surat Landfill,"32.805, 89.0238",38471,1970,6.399705479800224,3.305903917983908,8.40789879377962,4.397865703017428,43.41820123666489
Bengaluru,Hazardous,5891,59,18195,7,Incineration,2202,15,Bengaluru Landfill,"15.7581, 85.4837",52609,1970,7.244419396921706,8.677517834420362,7.412895617212194,6.2381549749886425,59.88839665458134
Nagpur,Organic,8001,78,19087,7,Landfill,1652,11,Nagpur Landfill,"35.7049, 71.8706",49830,1970,5.559125862295155,2.8000259543806703,6.737861833961288,7.639971863793248,80.05891496319671
Vadodara,Plastic,7724,36,21598,8,Composting,509,11,Vadodara Landfill,"31.3853, 71.6585",24927,1970,5.980520250663607,5.251733045484017,7.710627152752817,3.4032858908492827,38.60655607463213
Hyderabad,Construction,2163,52,7927,5,Incineration,2206,7,Hyderabad Landfill,"34.069, 82.1518",34239,1970,3.447563239967161,7.329364532412067,3.0107715332267357,5.667761465269562,51.27737887606542
Varanasi,E-Waste,1864,61,7976,6,Incineration,878,12,Varanasi Landfill,"35.156, 83.0516",79314,1970,5.731069428643203,6.859557649426359,5.092164569384426,5.824318558853526,63.49900980141232
Coimbatore,Plastic,6548,55,12073,7,Landfill,4731,15,Coimbatore Landfill,"31.9729, 76.5516",98572,1970,7.187988531220866,9.137680821325752,5.960851326709104,5.502427287166376,53.05975147924071
Kolkata,Hazardous,5709,58,17335,10,Incineration,4414,3,Kolkata Landfill,"16.068, 72.6096",80985,1970,3.2378569785527307,7.616705464576412,4.514002949546959,5.362394068598277,60.04706128837069
Delhi,Plastic,1061,59,14376,5,Landfill,4240,1,Delhi Landfill,"30.2591, 91.9376",74509,1970,1.4594435016938343,6.846190969311901,3.3814880261971494,6.019526200036303,57.54345559518677
Nashik,Hazardous,9699,73,2929,6,Incineration,1196,7,Nashik Landfill,"14.6177, 91.4568",63245,1970,3.7557298531071495,6.170032534632837,2.4162742487646387,6.844996821235425,73.5992953756747
Ludhiana,E-Waste,3515,38,8678,10,Recycling,1984,15,Ludhiana Landfill,"10.3062, 77.427",69241,1970,7.725655089800875,6.235747932046838,5.11951566751408,3.708455581408482,41.78088137031156
Nashik,Construction,613,40,2929,6,Landfill,2691,11,Nashik Landfill,"14.6177, 91.4568",63245,1970,5.172950670399487,6.598696242245637,3.729922771861928,3.758591591134784,40.92054324996461
Kanpur,E-Waste,3244,48,18697,10,Landfill,2550,15,Kanpur Landfill,"13.0189, 89.182",22690,1970,7.954957725925659,7.986044458615229,7.235420915129456,4.679751522919317,46.7314283046212
Nagpur,E-Waste,3689,63,19087,9,Recycling,4676,19,Nagpur Landfill,"35.7049, 71.8706",49830,1970,9.107020143776522,7.392509874597489,8.412756394469845,6.117549700257588,63.01435693381588
Jabalpur,Organic,5713,85,7118,5,Recycling,3842,15,Jabalpur Landfill,"20.0639, 89.516",63720,1970,6.778045709128751,5.217690928036918,5.214931445410107,8.240299123450367,83.78470730925305
Nagpur,Construction,7157,54,19087,9,Landfill,3776,16,Nagpur Landfill,"35.7049, 71.8706",49830,1970,7.678082233841351,7.8943852815176285,7.753659514707873,5.342798136543737,51.71396137585254
Allahabad,Plastic,6209,47,19181,10,Landfill,2392,5,Allahabad Landfill,"35.9642, 87.6951",35432,1970,4.29103637229481,7.659639268484038,5.457117817683798,4.386639939797683,47.48706040837269
Lucknow,E-Waste,2281,45,23465,8,Landfill,4891,7,Lucknow Landfill,"10.3904, 81.8808",80251,1970,4.159843893967957,9.720891559228502,6.328957994733055,4.040059119050694,46.20824177917704
Thiruvananthapuram,Construction,4348,74,18418,10,Incineration,516,20,Thiruvananthapuram Landfill,"17.2935, 83.4447",30373,1970,9.934351127536257,5.845028750450251,9.2841958203181,7.018709095509111,74.643357082753
Visakhapatnam,Construction,9575,65,12359,6,Composting,3043,0,Visakhapatnam Landfill,"12.4235, 85.6407",48016,1970,1.3525451130458022,6.899666825745274,2.335425167117154,6.233740792036744,64.50723319497091
