city/district,waste_type,waste_generated_(tons/day),recycling_rate_(%),population_density_(people/km²),municipal_efficiency_score_(1_10),disposal_method,cost_of_waste_management_(₹/ton),awareness_campaigns_count,landfill_name,"landfill_location_(lat,_long)",landfill_capacity_(tons),year,waste_reduction_initiatives,industrial_symbiosis_index,community_participation_score,green_technology_adoption,recycling_infrastructure_rating
Mumbai,Plastic,6610,68,11191,9,Composting,3056,14,Mumbai Landfill,"22.4265, 77.4931",45575,1970,7.124247082209114,6.673589902564461,5.677174395487456,6.367255913967368,66.8123771838626
Mumbai,Organic,1181,56,11191,5,Composting,2778,12,Mumbai Landfill,"22.4265, 77.4931",45575,1970,5.7444939789850675,3.138971068727471,4.939351960309291,5.194917936821669,55.66873717936473
Mumbai,E-Waste,8162,53,11191,8,Incineration,3390,13,Mumbai Landfill,"22.4265, 77.4931",45575,1970,6.7573559856280765,6.662106642109688,5.886589071527198,5.79889261203329,53.1571540594383
Mumbai,Construction,8929,56,11191,5,Landfill,1498,14,Mumbai Landfill,"22.4265, 77.4931",45575,1970,6.292710144280364,5.680915948654284,6.276041887482448,5.426639249425911,51.74253181117037
Mumbai,Hazardous,5032,44,11191,7,Recycling,2221,16,Mumbai Landfill,"22.4265, 77.4931",45575,1970,7.200813545602537,7.148632039216201,5.9006703367759155,4.648183912048847,44.9163362295774
Mumbai,Plastic,7456,73,11191,9,Landfill,3195,6,Mumbai Landfill,"22.4265, 77.4931",45575,1970,4.100772737818654,8.55787168483306,4.283469068809677,7.606665053026816,71.04055755056639
Mumbai,Organic,7118,37,11191,6,Composting,3686,14,Mumbai Landfill,"22.4265, 77.4931",45575,1970,6.181656165342025,3.9883335549209677,5.850930460854722,4.0580232710072295,34.69333519358851
Mumbai,E-Waste,9189,57,11191,10,Landfill,1791,12,Mumbai Landfill,"22.4265, 77.4931",45575,1970,6.976484943050314,6.978329513934196,5.12791953947185,6.197628297402156,53.62531130577858
Mumbai,Construction,8609,48,11191,8,Incineration,1681,20,Mumbai Landfill,"22.4265, 77.4931",45575,1970,9.287758241117569,5.820048868287408,6.905215936794138,4.541496485256868,44.41221500426422
Mumbai,Hazardous,6632,71,11191,6,Incineration,2311,12,Mumbai Landfill,"22.4265, 77.4931",45575,1970,5.858769529184069,8.955872325174186,5.328978129588394,6.6403508268597,68.28910499377542
Mumbai,Plastic,6932,81,11191,10,Incineration,2543,16,Mumbai Landfill,"22.4265, 77.4931",45575,1970,7.802486491399561,6.907872621982812,6.622869406008726,8.011191517994586,79.58195808473901
Mumbai,Organic,4171,44,11191,9,Incineration,4756,14,Mumbai Landfill,"22.4265, 77.4931",45575,1970,7.565342420892816,4.743132800815144,6.035440338784675,4.030080669828947,47.90651827505314
Mumbai,E-Waste,5095,30,11191,10,Composting,3586,2,Mumbai Landfill,"22.4265, 77.4931",45575,1970,3.1256276906653278,6.1667116643472255,2.3785798729819496,2.5224258891620552,28.94824064820959
Mumbai,Construction,3514,77,11191,9,Incineration,3520,0,Mumbai Landfill,"22.4265, 77.4931",45575,1970,1.967126735925898,8.714840628452343,1.9012556968858796,7.5604268271414865,77.35550021253606
Mumbai,Hazardous,4505,54,11191,10,Composting,3655,4,Mumbai Landfill,"22.4265, 77.4931",45575,1970,3.6340527124451074,6.2652601394434,3.2312271441506137,5.683738251075236,54.80096277301266
Mumbai,Plastic,2501,41,11191,9,Recycling,1194,4,Mumbai Landfill,"22.4265, 77.4931",45575,1970,3.395536672684374,6.342717133362942,3.1236443555659195,4.166180691225071,41.2621303724317
